Feature,Type,Value
GenHlth,Coefficient,0.5870529062788831
BMI,Coefficient,0.48490184809939596
Age,Coefficient,0.45717026203495126
HighBP,Coefficient,0.34051634242319107
HighChol,Coefficient,0.29407334325568374
CholCheck,Coefficient,0.23168883931085404
HvyAlcoholConsump,Coefficient,0.14866161994860178
Income,Coefficient,0.12911071273494049
Sex,Coefficient,0.12710066211763296
HeartDiseaseorAttack,Coefficient,0.06507163421253892
PhysHlth,Coefficient,0.05781967788358881
Education,Coefficient,0.04431477902339389
DiffWalk,Coefficient,0.030472027467452024
NoDocbcCost,Coefficient,0.02972670590640174
Stroke,Coefficient,0.02712772471121728
Fruits,Coefficient,0.023612053296874956
PhysActivity,Coefficient,0.01865346739002643
MentHlth,Coefficient,0.01803965574476398
Veggies,Coefficient,0.016175549063351398
AnyHealthcare,Coefficient,0.010160177553218543
Smoker,Coefficient,0.002748830689116942
