Feature,Type,Value
HighBP,Importance,0.41665626573126524
GenHlth,Importance,0.2681500815519318
BMI,Importance,0.11160896445779822
Age,Importance,0.09775549449714085
HighChol,Importance,0.04607392242848788
Income,Importance,0.01277234952684977
HeartDiseaseorAttack,Importance,0.006768470288040186
HvyAlcoholConsump,Importance,0.006542009765700049
Sex,Importance,0.006461610076075423
PhysHlth,Importance,0.004986076076752452
MentHlth,Importance,0.004000959518324635
Education,Importance,0.003763802446514047
CholCheck,Importance,0.003526510450405159
DiffWalk,Importance,0.0035145236616512415
Stroke,Importance,0.0016398468096578786
Smoker,Importance,0.0013046768131539418
Fruits,Importance,0.0012515873720870493
PhysActivity,Importance,0.0009604839916923108
AnyHealthcare,Importance,0.0008737463218810764
Veggies,Importance,0.0007655499119231536
NoDocbcCost,Importance,0.0006230683026676575
