Feature,Type,Value
HighBP,Importance,0.24635141969984864
GenHlth,Importance,0.2358638851913671
HighChol,Importance,0.1375792414767276
BMI,Importance,0.10908001147503783
DiffWalk,Importance,0.08547659246734636
Age,Importance,0.08020157513634453
PhysHlth,Importance,0.03048199593968228
HeartDiseaseorAttack,Importance,0.03034124168911869
Income,Importance,0.02465294389625116
Education,Importance,0.007396257018782382
CholCheck,Importance,0.0037000691208719265
PhysActivity,Importance,0.0033759632015641153
Stroke,Importance,0.003040881274079086
HvyAlcoholConsump,Importance,0.0012655409027685564
Smoker,Importance,0.0007326798313020449
Sex,Importance,0.00018565212394178578
MentHlth,Importance,0.0001490130961488337
NoDocbcCost,Importance,7.762892188295194e-05
Veggies,Importance,4.58887594561061e-05
Fruits,Importance,8.259121574187097e-07
AnyHealthcare,Importance,6.928653205398482e-07
